,ano,bloco,talhao,corte,tch_bloco
0,2021,604P0311,5,4,70.75
1,2021,111P1186,10,5,26.47
2,2021,116P1611,6,18,95.64
3,2021,116P1626,2,18,110.97
4,2021,134P1520,2,3,59.2
5,2021,134P3434,2,2,74.94
6,2021,141P4142,6,5,55.72
7,2021,143P4234,2,3,69.71
8,2021,143P4304,10,2,72.37
9,2021,517P0042,4,3,83.01
10,2021,518P0013,1,3,105.49
11,2021,522P0032,6,18,100.8
12,2021,522P0050,6,18,121.14
13,2021,301P0008,4,2,102.71
14,2021,309P0025,4,4,69.71
15,2021,303P0036,5,6,56.67
16,2021,309P0054,7,18,116.25
17,2021,411P0021,3,4,28.63
18,2021,111F0048,9,18,1.63
19,2021,112F0054,1,18,129.98
20,2021,113F0011,6,18,109.79
21,2021,125F0024,9,3,49.35
22,2021,135F0004,2,18,82.86
23,2021,302F0396,10,18,113.21
24,2021,302F0854,1,8,47.9
25,2021,303F0470,6,7,65.28
26,2021,521F0016,1,7,45.31
27,2021,521F0018,3,8,13.02
28,2021,603F0020,20,2,82.28
29,2021,603F0057,1,2,45.39
30,2021,604F0480,3,3,85.75
31,2021,606F0010,19,5,90.8
32,2021,143P4321,7,5,19.23
33,2021,238P3901,2,4,21.18
34,2021,605P0321,9,5,52.65
35,2021,132P3201,5,3,89.03
36,2021,522P0057,5,4,67.25
37,2021,301P0010,2,2,80.95
38,2021,407P0015,8,2,98.36
39,2021,408P0004,6,4,57.22
40,2021,110F0011,2,18,78.75
41,2021,111F0002,24,4,68.35
42,2021,111F0103,3,2,104.07
43,2021,112F0089,7,6,48.82
44,2021,133F0012,19,2,82.35
45,2021,302F0526,3,9,97.87
46,2021,414F0003,22,5,42.88
47,2021,517F0684,2,4,53.64
48,2021,521F0008,4,8,18.39
49,2021,521F0010,2,5,61.99
50,2021,521F0040,10,2,92.01
51,2021,521F0084,2,8,73.19
52,2021,521F0162,5,2,110.41
53,2021,602F0005,2,5,77.34
54,2021,603F0059,52,5,49.66
55,2021,605F0009,25,6,56.26
56,2021,605F0069,6,2,43.25
57,2021,224P2343,3,4,54.9
58,2021,224P2441,8,2,65.69
59,2021,112P1266,5,3,37.08
60,2021,112P1642,3,9,10.43
61,2021,113P1306,5,3,91.46
62,2021,116P1654,4,3,37.42
63,2021,121P2115,8,2,90.98
64,2021,122P2214,7,3,86.49
65,2021,132P3334,4,3,67.78
66,2021,134P3445,9,3,54.47
67,2021,141P4131,15,6,31.23
68,2021,143P4346,2,18,134.54
69,2021,517P0048,3,3,56.21
70,2021,521P0006,4,3,93.9
